Training POS tagger....
Averaging weights....
Done!

Training dependency parser....
0 0.622
1 0.706
2 0.749
3 0.774
4 0.794
5 0.809
6 0.822
7 0.831
8 0.840
9 0.846
10 0.849
11 0.853
12 0.857
13 0.859
14 0.862
Averaging weights....
Done!

Saving model to model/parser.pickle
5 paid 0 35
6 off 5 5
7 as 11 5
8 the 9 9
9 assets 11 7
10 are 11 11
11 sold 5 5
12 , 5 11
13 leaving 5 11
14 the 16 16
15 total 16 16
16 spending 13 13
17 for 16 16
18 the 19 19
19 bailout 17 17
20 at 13 13
21 $ 20 20
22 50 23 23
23 billion 21 21
24 , 21 21
25 or 21 21
26 $ 21 21
27 166 28 28
28 billion 26 26
29 including 26 26
30 interest 29 29
31 over 30 30
32 10 33 33
33 years 31 31
34 . 5 5

0 ROOT ROOT None
1 `` 14 14
2 It 3 3
3 's 14 14
4 a 5 5
5 problem 3 11
6 that 8 8
7 clearly 8 8
8 has 5 11
9 to 11 11
10 be 11 11
11 resolved 8 3
12 , 14 14
13 '' 14 14
14 said 0 24
15 David 16 16
16 Cooke 14 14
17 , 16 16
18 executive 19 19
19 director 16 16
20 of 19 19
21 the 22 22
22 RTC 20 20
23 . 14 14

0 ROOT ROOT None
1 The 2 2
2 agency 5 3
3 has 5 31
4 already 5 5
5 spent 0 3
6 roughly 7 7
7 $ 5 5
8 19 7 9
9 billion 7 7
10 selling 5 7
11 34 13 10
12 insolvent 13 13
13 S&Ls 10 10
14 , 5 3
15 and 5 3
16 it 17 17
17 is 5 3
18 likely 17 17
19 to 20 20
20 sell 18 18
21 or 20 20
22 merge 20 20
23 600 20 20
24 by 20 20
25 the 26 26
26 time 24 24
27 the 28 29
28 bailout 29 29
29 concludes 26 20
30 . 5 3

0 ROOT ROOT None
1 Absent 13 4
2 other 4 4
3 working 4 4
4 capital 1 30
5 , 7 7
6 he 7 7
7 said 13 4
8 , 7 13
9 the 10 10
10 RTC 13 13
11 would 13 13
12 be 13 13
13 forced 0 7
14 to 15 15
15 delay 13 13
16 other 18 18
17 thrift 18 18
18 resolutions 15 15
19 until 23 15
20 cash 23 19
21 could 23 23
22 be 23 23
23 raised 15 13
24 by 23 23
25 selling 24 24
26 the 28 28
27 bad 28 28
28 assets 25 25
29 . 13 4

0 ROOT ROOT None
1 `` 22 4
2 We 4 4
3 would 4 4
4 have 22 22
5 to 6 6
6 wait 4 4
7 until 10 10
8 we 10 10
9 have 10 10
10 collected 6 6
11 on 10 10
12 those 13 13
13 assets 11 11
14 before 17 17
15 we 17 17
16 can 17 17
17 move 6 13
18 forward 17 17
19 , 22 22
20 '' 22 22
21 he 22 22
22 said 0 24
23 . 22 22

0 ROOT ROOT None
1 The 3 3
2 complicated 3 3
3 language 10 10
4 in 3 3
5 the 8 8
6 huge 8 8
7 new 8 8
8 law 4 4
9 has 10 10
10 muddied 0 14
11 the 12 12
12 fight 10 10
13 . 10 10

0 ROOT ROOT None
1 The 2 2
2 law 4 3
3 does 4 4
4 allow 0 21
5 the 6 6
6 RTC 8 8
7 to 8 8
8 borrow 4 4
9 from 8 8
10 the 11 11
11 Treasury 9 9
12 up 14 11
13 to 14 8
14 $ 8 13
15 5 14 14
16 billion 14 14
17 at 8 8
18 any 19 19
19 time 17 17
20 . 4 4

0 ROOT ROOT None
1 Moreover 4 4
2 , 4 4
3 it 4 4
4 says 0 43
5 the 6 6
6 RTC 9 9
7 's 6 6
8 total 9 9
9 obligations 12 12
10 may 12 12
11 not 12 12
12 exceed 4 4
13 $ 12 12
14 50 15 15
15 billion 13 13
16 , 4 12
17 but 4 12
18 that 19 19
19 figure 21 21
20 is 21 21
21 derived 4 12
22 after 21 21
23 including 22 22
24 notes 23 23
25 and 24 24
26 other 27 27
27 debt 24 24
28 , 23 21
29 and 23 21
30 subtracting 23 21
31 from 30 30
32 it 31 31
33 the 35 35
34 market 35 35
35 value 30 31
36 of 35 35
37 the 38 38
38 assets 36 36
39 the 40 40
40 RTC 41 41
41 holds 38 38
42 . 4 4

0 ROOT ROOT None
1 But 5 5
2 Congress 5 5
3 did 5 5
4 n't 5 5
5 anticipate 12 31
6 or 5 5
7 intend 5 5
8 more 10 10
9 public 10 10
10 debt 5 7
11 , 12 12
12 say 0 5
13 opponents 12 12
14 of 13 13
15 the 16 16
16 RTC 19 19
17 's 16 16
18 working-capital 19 19
19 plan 14 14
20 , 12 5
21 and 12 5
22 Rep. 24 24
23 Charles 24 24
24 Schumer 31 31
25 ( 26 26
26 D. 24 24
27 , 26 26
28 N.Y 26 26
29 . 28 28
30 ) 26 26
31 said 12 45
32 the 35 35
33 RTC 35 35
34 Oversight 35 35
35 Board 37 38
36 has 37 38
37 been 31 38
38 remiss 37 31
39 in 38 38
40 not 41 41
41 keeping 39 43
42 Congress 43 43
43 informed 41 38
44 . 12 31

0 ROOT ROOT None
1 `` 26 4
2 That 3 3
3 secrecy 4 4
4 leads 26 26
5 to 4 4
6 a 7 7
7 proposal 5 5
8 like 7 7
9 the 10 10
10 one 8 8
11 from 10 10
12 Ways 11 11
13 and 12 12
14 Means 12 12
15 , 10 12
16 which 17 17
17 seems 10 10
18 to 17 17
19 me 18 20
20 sort 21 18
21 of 22 20
22 draconian 17 21
23 , 26 26
24 '' 26 26
25 he 26 26
26 said 0 28
27 . 26 26

0 ROOT ROOT None
1 `` 5 27
2 The 3 3
3 RTC 5 5
4 is 5 5
5 going 0 1
6 to 7 7
7 have 5 5
8 to 9 9
9 pay 7 7
10 a 11 11
11 price 9 9
12 of 11 11
13 prior 14 14
14 consultation 12 12
15 on 14 14
16 the 17 17
17 Hill 15 15
18 if 20 20
19 they 20 20
20 want 5 5
21 that 22 22
22 kind 20 20
23 of 22 22
24 flexibility 23 23
25 . 5 5
26 '' 5 5

0 ROOT ROOT None
1 The 5 2
2 Ways 5 7
3 and 2 2
4 Means 2 5
5 Committee 7 2
6 will 7 7
7 hold 0 16
8 a 9 9
9 hearing 7 7
10 on 9 9
11 the 12 12
12 bill 10 10
13 next 14 14
14 Tuesday 7 7
15 . 7 7

0 ROOT ROOT None
1 We 2 10
2 're 0 1
3 about 2 2
4 to 5 5
5 see 3 3
6 if 8 5
7 advertising 8 8
8 works 5 6
9 . 2 1

0 ROOT ROOT None
1 Hard 23 2
2 on 1 43
3 the 4 4
4 heels 2 2
5 of 4 4
6 Friday 10 10
7 's 6 6
8 190-point 10 10
9 stock-market 10 10
10 plunge 5 5
11 and 10 10
12 the 13 13
13 uncertainty 10 10
14 that 16 15
15 's 16 13
16 followed 13 15
17 , 23 24
18 a 22 22
19 few 22 22
20 big 22 22
21 brokerage 22 22
22 firms 23 24
23 are 0 24
24 rolling 23 15
25 out 24 24
26 new 27 27
27 ads 24 24
28 trumpeting 27 27
29 a 31 31
30 familiar 31 31
31 message 28 28
32 : 31 24
33 Keep 31 24
34 on 33 33
35 investing 33 34
36 , 33 24
37 the 38 38
38 market 39 41
39 's 33 38
40 just 41 41
41 fine 39 24
42 . 23 2

0 ROOT ROOT None
1 Their 2 2
2 mission 3 3
3 is 0 23
4 to 5 5
5 keep 3 3
6 clients 5 5
7 from 5 5
8 fleeing 7 7
9 the 10 10
10 market 8 8
11 , 8 3
12 as 15 3
13 individual 14 14
14 investors 15 12
15 did 8 14
16 in 15 15
17 droves 16 16
18 after 15 17
19 the 20 20
20 crash 18 18
21 in 20 18
22 October 21 21

0 ROOT ROOT None
1 Just 2 2
2 days 3 11
3 after 11 11
4 the 6 6
5 1987 6 6
6 crash 3 3
7 , 11 11
8 major 10 10
9 brokerage 10 10
10 firms 11 11
11 rushed 0 18
12 out 11 11
13 ads 11 11
14 to 15 15
15 calm 11 11
16 investors 15 15
17 . 11 11

0 ROOT ROOT None
1 This 2 2
2 time 7 11
3 around 2 7
4 , 7 7
5 they 7 7
6 're 7 7
7 moving 0 2
8 even 9 9
9 faster 7 7
10 . 7 2

0 ROOT ROOT None
1 PaineWebber 2 2
2 Inc. 3 3
3 filmed 0 23
4 a 7 6
5 new 7 6
6 television 7 7
7 commercial 3 3
8 at 3 3
9 4 11 10
10 p.m. 11 8
11 EDT 8 10
12 yesterday 3 3
13 and 3 3
14 had 3 3
15 it 14 14
16 on 14 14
17 the 18 18
18 air 16 16
19 by 14 14
20 last 21 21
21 night 19 19
22 . 3 3

0 ROOT ROOT None
1 Fidelity 2 2
2 Investments 3 3
3 placed 0 18
4 new 5 5
5 ads 3 3
6 in 3 5
7 newspapers 6 8
8 yesterday 3 6
9 , 3 3
10 and 3 3
11 wrote 3 3
12 another 14 14
13 new 14 14
14 ad 11 11
15 appearing 14 14
16 today 15 15
17 . 3 11

0 ROOT ROOT None
1 Shearson 4 4
2 Lehman 4 4
3 Hutton 4 4
4 Inc. 10 10
5 by 10 4
6 yesterday 7 7
7 afternoon 5 5
8 had 10 10
9 already 10 10
10 written 0 15
11 new 13 13
12 TV 13 13
13 ads 10 10
14 . 10 10

0 ROOT ROOT None
1 It 2 2
2 considered 0 22
3 running 2 2
4 them 3 3
5 during 3 3
6 tomorrow 7 7
7 night 11 11
8 's 7 7
9 World 11 11
10 Series 11 11
11 broadcast 5 5
12 but 2 2
13 decided 2 2
14 not 15 13
15 to 13 19
16 when 19 19
17 the 18 18
18 market 19 19
19 recovered 13 13
20 yesterday 19 19
21 . 2 2

0 ROOT ROOT None
1 Other 3 3
2 brokerage 3 3
3 firms 12 11
4 , 3 3
5 including 3 3
6 Merrill 7 7
7 Lynch 5 5
8 & 7 7
9 Co. 7 7
10 , 3 3
11 were 12 19
12 plotting 0 11
13 out 12 12
14 potential 17 17
15 new 17 17
16 ad 17 17
17 strategies 12 12
18 . 12 11

0 ROOT ROOT None
1 The 3 3
2 brokerage 3 3
3 firms 4 4
4 learned 0 27
5 a 6 6
6 lesson 4 4
7 the 9 9
8 last 9 9
9 time 4 6
10 around 9 13
11 , 9 13
12 when 15 13
13 frightened 14 4
14 investors 15 15
15 flooded 9 13
16 the 18 18
17 phone 18 18
18 lines 15 15
19 and 15 15
20 fled 15 15
21 the 22 22
22 market 20 20
23 in 20 20
24 a 25 25
25 panic 23 23
26 . 4 4

0 ROOT ROOT None
1 This 2 2
2 time 6 9
3 , 6 6
4 the 5 5
5 firms 6 6
6 were 0 2
7 ready 6 6
8 . 6 6

0 ROOT ROOT None
1 Fidelity 6 7
2 , 6 1
3 for 6 7
4 example 3 3
5 , 6 7
6 prepared 0 7
7 ads 6 18
8 several 9 9
9 months 10 10
10 ago 6 7
11 in 6 7
12 case 11 11
13 of 12 12
14 a 16 16
15 market 16 16
16 plunge 13 13
17 . 6 7

0 ROOT ROOT None
1 When 4 4
2 the 3 3
3 market 4 4
4 went 15 28
5 into 4 4
6 its 8 8
7 free 8 8
8 fall 5 10
9 Friday 10 10
10 afternoon 4 5
11 , 15 4
12 the 14 14
13 investment 14 14
14 firm 15 17
15 ordered 0 17
16 full 17 17
17 pages 15 4
18 in 17 17
19 the 21 21
20 Monday 21 21
21 editions 18 18
22 of 21 21
23 half 25 26
24 a 25 26
25 dozen 26 26
26 newspapers 22 22
27 . 15 4

0 ROOT ROOT None
1 The 2 2
2 ads 3 3
3 touted 0 22
4 Fidelity 7 3
5 's 4 4
6 automated 7 4
7 800-number 3 6
8 beneath 3 6
9 the 11 11
10 huge 11 11
11 headline 8 8
12 , 11 4
13 `` 11 16
14 Fidelity 15 16
15 Is 11 16
16 Ready 15 4
17 For 16 16
18 Your 19 19
19 Call 17 17
20 . 3 3
21 '' 3 3

0 ROOT ROOT None
1 A 3 3
2 Fidelity 3 3
3 spokesman 4 4
4 says 0 33
5 the 6 6
6 800-line 21 4
7 , 6 6
8 which 11 11
9 already 11 11
10 was 11 11
11 operating 6 4
12 but 11 11
13 which 19 12
14 many 15 15
15 clients 18 13
16 did 18 18
17 n't 18 18
18 know 11 4
19 about 18 18
20 , 6 18
21 received 4 18
22 about 23 21
23 double 26 22
24 the 26 26
25 usual 26 26
26 volume 21 23
27 of 26 26
28 calls 27 27
29 over 21 28
30 the 31 31
31 weekend 29 29
32 . 4 4

0 ROOT ROOT None
1 `` 20 20
2 A 3 3
3 lot 7 1
4 of 3 3
5 investor 6 7
6 confidence 4 7
7 comes 20 4
8 from 7 3
9 the 10 10
10 fact 8 8
11 that 14 14
12 they 14 14
13 can 14 14
14 speak 10 3
15 to 14 14
16 us 15 15
17 , 20 20
18 '' 20 20
19 he 20 20
20 says 0 22
21 . 20 20

0 ROOT ROOT None
1 `` 6 10
2 To 3 3
3 maintain 6 1
4 that 5 5
5 dialogue 3 6
6 is 0 3
7 absolutely 8 8
8 crucial 6 6
9 . 6 3

0 ROOT ROOT None
1 It 4 4
2 would 4 4
3 have 4 4
4 been 0 13
5 too 6 6
6 late 4 4
7 to 8 8
8 think 6 6
9 about 8 8
10 on 4 8
11 Friday 10 10
12 . 4 4

0 ROOT ROOT None
1 We 2 2
2 had 0 12
3 to 4 4
4 think 2 2
5 about 4 4
6 it 5 5
7 ahead 4 6
8 of 7 7
9 time 8 8
10 . 2 2
11 '' 2 2

0 ROOT ROOT None
1 Today 4 4
2 's 1 1
3 Fidelity 4 4
4 ad 5 5
5 goes 0 25
6 a 7 7
7 step 5 5
8 further 7 7
9 , 5 5
10 encouraging 5 5
11 investors 13 10
12 to 13 13
13 stay 10 11
14 in 13 13
15 the 16 16
16 market 14 14
17 or 13 13
18 even 20 20
19 to 20 20
20 plunge 13 13
21 in 20 20
22 with 20 20
23 Fidelity 22 22
24 . 5 5

0 ROOT ROOT None
1 Underneath 9 9
2 the 3 3
3 headline 1 5
4 `` 3 5
5 Diversification 3 1
6 , 9 9
7 '' 9 9
8 it 9 9
9 counsels 0 12
10 , 9 9
11 `` 9 12
12 Based 23 23
13 on 12 12
14 the 15 15
15 events 13 13
16 of 15 15
17 the 19 19
18 past 19 19
19 week 16 16
20 , 23 23
21 all 22 22
22 investors 23 23
23 need 9 41
24 to 25 25
25 know 23 23
26 their 27 27
27 portfolios 29 29
28 are 29 29
29 balanced 25 25
30 to 31 31
31 help 29 29
32 protect 31 31
33 them 32 32
34 against 32 32
35 the 36 36
36 market 38 38
37 's 36 36
38 volatility 34 34
39 . 9 23
40 '' 9 23

0 ROOT ROOT None
1 It 2 2
2 goes 0 14
3 on 2 2
4 to 5 5
5 plug 2 3
6 a 10 10
7 few 10 10
8 diversified 10 10
9 Fidelity 10 10
10 funds 5 5
11 by 5 5
12 name 11 11
13 . 2 2

0 ROOT ROOT None
1 PaineWebber 3 3
2 also 3 3
3 was 0 15
4 able 3 3
5 to 6 6
6 gear 4 4
7 up 6 6
8 quickly 6 6
9 thanks 3 6
10 to 9 6
11 the 13 13
12 1987 13 13
13 crash 10 10
14 . 3 3

0 ROOT ROOT None
1 In 12 12
2 the 3 3
3 aftermath 1 1
4 of 3 3
5 the 7 7
6 1987 7 7
7 debacle 4 4
8 , 12 12
9 the 11 11
10 brokerage 11 11
11 firm 12 12
12 began 0 41
13 taping 12 12
14 commercials 13 13
15 in-house 13 13
16 , 12 12
17 ultimately 18 18
18 getting 12 31
19 its 20 20
20 timing 18 18
21 down 18 18
22 fast 23 23
23 enough 18 18
24 to 25 25
25 tape 23 18
26 a 27 27
27 commercial 25 25
28 after 31 31
29 the 30 30
30 market 31 31
31 closed 25 12
32 and 25 31
33 rush 25 31
34 it 33 33
35 on 33 33
36 the 37 37
37 air 35 35
38 that 39 39
39 night 33 31
40 . 12 12

0 ROOT ROOT None
1 It 3 3
2 also 3 3
3 negotiated 0 21
4 an 5 5
5 arrangement 3 14
6 with 5 5
7 Cable 9 9
8 News 9 9
9 Network 6 6
10 under 14 14
11 which 10 10
12 CNN 14 14
13 would 14 14
14 agree 5 3
15 to 16 16
16 air 14 14
17 its 19 19
18 last-minute 19 19
19 creations 16 16
20 . 3 3

0 ROOT ROOT None
1 The 4 4
2 new 4 4
3 PaineWebber 4 4
4 commercial 15 33
5 , 4 4
6 created 4 4
7 with 6 6
8 ad 10 10
9 agency 10 10
10 Saatchi 7 7
11 & 10 10
12 Saatchi 13 13
13 Co. 10 10
14 , 4 10
15 features 0 17
16 Mary 17 17
17 Farrell 15 10
18 , 17 10
19 one 17 10
20 of 19 19
21 the 27 22
22 firm 27 27
23 's 22 22
24 most 25 25
25 visible 27 27
26 investment 27 27
27 strategists 20 20
28 , 17 10
29 sounding 17 10
30 particularly 31 31
31 bullish 29 29
32 . 15 4

0 ROOT ROOT None
1 Taped 10 6
2 just 6 6
3 as 6 6
4 the 5 5
5 market 6 6
6 closed 1 10
7 yesterday 6 6
8 , 10 6
9 it 10 10
10 offers 0 30
11 Ms. 12 13
12 Farrell 10 13
13 advising 12 10
14 , 13 13
15 `` 13 17
16 We 17 17
17 view 13 13
18 the 19 19
19 market 17 17
20 here 17 19
21 as 17 20
22 going 21 21
23 through 22 22
24 a 27 27
25 relatively 26 26
26 normal 27 27
27 cycle 23 23
28 ... 10 10
29 . 10 10

0 ROOT ROOT None
1 We 2 2
2 continue 0 20
3 to 4 4
4 feel 2 2
5 that 9 9
6 the 8 8
7 stock 8 8
8 market 9 9
9 is 4 4
10 still 9 9
11 the 12 12
12 place 9 9
13 to 14 14
14 be 12 12
15 for 14 14
16 long-term 17 17
17 appreciation 15 15
18 . 2 2
19 '' 2 2

0 ROOT ROOT None
1 The 2 2
2 spot 4 4
3 was 4 4
4 scheduled 0 14
5 to 6 6
6 appear 4 4
7 three 8 8
8 times 6 6
9 on 6 6
10 CNN 9 12
11 last 12 12
12 night 6 9
13 . 4 4

0 ROOT ROOT None
1 PaineWebber 2 2
2 considered 0 12
3 an 6 6
4 even 5 6
5 harder 6 6
6 sell 2 2
7 , 6 2
8 recommending 6 2
9 specific 10 10
10 stocks 8 8
11 . 2 2

0 ROOT ROOT None
1 Instead 4 4
2 , 4 4
3 it 4 4
4 settled 0 22
5 on 4 4
6 just 7 7
7 urging 5 5
8 the 9 9
9 clients 7 7
10 who 11 11
11 are 9 9
12 its 13 13
13 lifeline 11 11
14 to 15 15
15 keep 7 13
16 that 17 17
17 money 15 15
18 in 15 15
19 the 20 20
20 market 18 18
21 . 4 4

0 ROOT ROOT None
1 `` 32 32
2 We 4 4
3 're 4 4
4 saying 32 32
5 the 7 7
6 worst 7 7
7 thing 12 12
8 that 11 11
9 anyone 11 11
10 can 11 11
11 do 7 7
12 is 4 4
13 to 14 14
14 see 12 12
15 the 16 16
16 market 17 17
17 go 14 14
18 down 17 17
19 and 17 14
20 dump 17 14
21 everything 20 20
22 , 17 21
23 which 25 25
24 just 25 25
25 drives 17 12
26 the 27 27
27 prices 25 25
28 down 25 27
29 further 25 28
30 , 32 32
31 '' 32 32
32 says 0 42
33 John 34 34
34 Lampe 32 32
35 , 34 34
36 PaineWebber 38 38
37 's 36 36
38 director 34 34
39 of 38 38
40 advertising 39 39
41 . 32 32

0 ROOT ROOT None
1 `` 16 19
2 If 4 4
3 you 4 4
4 owned 16 7
5 it 4 7
6 and 4 5
7 liked 4 1
8 it 7 9
9 Friday 4 7
10 , 16 16
11 the 13 13
12 true 13 13
13 value 16 16
14 has 16 16
15 n't 16 16
16 changed 0 7
17 . 16 7
18 '' 16 7

0 ROOT ROOT None
1 He 2 2
2 adds 0 12
3 , 2 9
4 `` 2 9
5 This 6 6
6 is 2 9
7 n't 6 9
8 1987 6 9
9 revisited 8 2
10 . 2 2
11 '' 2 2

0 ROOT ROOT None
1 With 17 7
2 the 3 4
3 market 4 4
4 fluctuating 1 1
5 and 4 1
6 then 7 7
7 closing 4 17
8 up 7 7
9 more 10 10
10 than 11 11
11 88 12 12
12 points 8 7
13 yesterday 17 17
14 , 17 17
15 investment 16 16
16 firms 17 17
17 had 0 24
18 to 20 20
19 constantly 20 20
20 revise 17 17
21 their 22 22
22 approach 20 20
23 . 17 17

0 ROOT ROOT None
1 At 6 6
2 Shearson 3 3
3 Lehman 1 1
4 , 6 6
5 executives 6 6
6 created 0 24
7 potential 9 9
8 new 9 9
9 commercials 6 11
10 Friday 11 11
11 night 6 6
12 and 11 6
13 throughout 11 6
14 the 15 15
15 weekend 13 13
16 , 6 6
17 then 18 6
18 had 6 6
19 to 20 20
20 regroup 18 18
21 yesterday 22 22
22 afternoon 20 20
23 . 6 6

0 ROOT ROOT None
1 The 2 2
2 plan 4 4
3 had 4 4
4 been 0 34
5 to 6 6
6 make 4 4
7 one 6 6
8 of 7 7
9 Shearson 19 24
10 's 9 9
11 easy-to-film 19 24
12 , 19 24
13 black-and-white 19 24
14 `` 19 24
15 Where 17 24
16 We 17 17
17 Stand 19 19
18 '' 19 19
19 commercials 8 24
20 , 19 19
21 which 24 24
22 have 24 24
23 been 24 24
24 running 19 7
25 occasionally 24 24
26 in 24 24
27 response 26 26
28 to 27 29
29 news 30 27
30 events 28 29
31 since 24 30
32 1985 31 31
33 . 4 4

0 ROOT ROOT None
1 The 2 2
2 ad 5 5
3 would 5 5
4 have 5 5
5 run 0 29
6 during 5 5
7 the 9 10
8 World 9 10
9 Series 6 10
10 tomorrow 5 6
11 , 5 5
12 replacing 5 5
13 the 15 15
14 debut 15 15
15 commercial 12 12
16 of 15 15
17 Shearson 21 21
18 's 17 17
19 new 21 21
20 ad 21 21
21 campaign 16 16
22 , 21 21
23 `` 21 21
24 Leadership 21 23
25 by 24 24
26 Example 25 25
27 . 5 5
28 '' 5 5

0 ROOT ROOT None
1 But 13 8
2 in 13 8
3 a 4 4
4 meeting 2 2
5 after 8 8
6 the 7 7
7 market 8 8
8 closed 13 23
9 yesterday 8 8
10 , 13 13
11 Shearson 12 12
12 executives 13 13
13 decided 0 8
14 not 16 16
15 to 16 16
16 go 13 13
17 ahead 16 16
18 with 16 16
19 the 21 21
20 stock-market 21 21
21 ad 18 18
22 . 13 8

0 ROOT ROOT None
1 `` 5 13
2 We 5 5
3 do 5 5
4 n't 5 5
5 think 0 13
6 at 5 10
7 this 8 9
8 point 6 9
9 anything 10 10
10 needs 5 5
11 to 13 12
12 be 13 10
13 said 10 15
14 . 5 13

0 ROOT ROOT None
1 The 2 2
2 market 3 3
3 seems 17 17
4 to 6 6
5 be 6 6
6 straightening 3 3
7 out 6 6
8 ; 3 3
9 we 11 11
10 're 11 11
11 taking 3 3
12 a 14 14
13 wait-and-see 14 14
14 attitude 11 11
15 , 17 17
16 '' 17 17
17 says 0 28
18 Cathleen 20 20
19 B. 20 20
20 Stewart 17 17
21 , 20 20
22 executive 24 24
23 vice 24 24
24 president 20 20
25 of 24 24
26 marketing 25 25
27 . 17 17

0 ROOT ROOT None
1 In 10 10
2 any 3 3
3 case 1 1
4 , 10 10
5 the 7 7
6 brokerage 7 7
7 firms 10 10
8 are 10 10
9 clearly 10 10
10 moving 0 25
11 faster 10 10
12 to 13 13
13 create 10 10
14 new 15 15
15 ads 13 13
16 than 18 18
17 they 18 18
18 did 10 15
19 in 18 18
20 the 21 21
21 fall 19 19
22 of 21 21
23 1987 22 22
24 . 10 10

0 ROOT ROOT None
1 But 3 3
2 it 3 3
3 remains 0 16
4 to 6 6
5 be 6 6
6 seen 3 3
